Genesis;[3]1,[4]1,[7]1,[8]1,[9]1
[3]1;[0]1,[4]2,[7]2,[9]2,[1]1,[5]1,[6]1
[4]1;[0]1,[4]2,[1]1,[5]1,[6]1
[7]1;[7]2,[3]2,[8]2
[8]1;[8]2
[9]1;[9]2
[0]1;[3]2,[0]2,[4]3,[6]2
[4]2;[0]2,[4]3,[6]2,[5]2
[7]2;[7]3
[9]2;[9]3
[1]1;
[5]1;
[6]1;
[9]3;[9]4
[3]2;[5]2,[3]3,[6]3,[4]4
[8]2;[8]3
[0]2;[3]3,[6]3,[4]4,[5]3
[4]3;
[6]2;
[7]3;[7]4
[9]4;[9]5
[5]2;[5]3,[0]3,[4]5,[2]1
[9]5;[9]6
[3]3;[0]3,[4]5,[2]1,[6]4
[6]3;[6]4
[8]3;[8]4
[4]4;
[7]4;[7]5
[5]3;[3]4,[1]2,[0]4
[0]3;[0]4,[1]3,[6]5
[9]6;[9]7
[3]4;[2]2,[1]3
[4]5;[6]5
[1]2;
[2]1;
[6]4;
[9]7;[9]8
[0]4;[2]3,[5]4,[4]6,[3]5
[7]5;[7]6
[2]2;[2]3,[5]4,[4]6
[1]3;[3]5
[6]5;
[2]3;[2]4,[4]7,[5]5
[8]4;[8]5
[5]4;[4]7,[5]5,[0]5,[2]5
[4]6;[1]4,[0]5
[2]4;[6]6,[1]4,[2]5
[3]5;
[8]5;[8]6
[7]6;[7]7
[4]7;[4]8
[6]6;[4]8,[0]6,[1]5,[6]7
[5]5;
[1]4;[1]5,[6]7
[9]8;[9]9
[0]5;
[8]6;[8]7
[2]5;
[7]7;[7]8
[4]8;[2]6,[3]6
[0]6;[0]7,[5]6
[9]9;[9]10
[2]6;[2]7,[3]7,[6]8,[4]9,[1]6,[5]6
[1]5;[1]6
[6]7;
[7]8;[7]9
[3]6;
[2]7;[2]8,[5]7,[1]7,[6]9,[4]10
[8]7;[8]8
[9]10;[9]11
[3]7;[2]8,[5]7,[1]7
[6]8;[6]9
[4]9;[4]10
[0]7;[0]8
[1]6;
[5]6;[0]9
[9]11;[9]12
[0]8;[0]9
[8]8;[8]9
[2]8;[1]8,[2]9,[6]10,[4]11
[5]7;[1]8,[2]9,[6]10,[4]11
[7]9;[7]10
[1]7;
[9]12;[9]13
[6]9;
[4]10;
[0]9;[0]10
[7]10;[7]11
[9]13;[9]14
[8]9;[8]10
[1]8;[2]10,[6]11,[4]12,[5]8,[3]8,[1]9
[2]9;[2]10
[6]10;[6]11,[5]8,[3]8,[1]9
[4]11;[4]12
[9]14;[9]15
[7]11;[7]12
[8]10;[8]11
[7]12;[7]13
[2]10;[2]11
[6]11;[6]12,[4]13,[3]9,[1]10,[2]11
[4]12;[6]12,[4]13,[3]9,[1]10
[5]8;[5]9
[3]8;
[1]9;
[7]13;[7]14
[8]11;[8]12
[9]15;[9]16
[0]10;[0]11
[6]12;[6]13
[4]13;[6]14,[4]14
[9]16;[9]17
[3]9;
[1]10;
[7]14;[7]15
[2]11;[2]12
[6]13;[6]14
[8]12;[8]13
[0]11;[0]12
[7]15;[7]16
[9]17;[9]18
[0]12;[0]13
[6]14;[3]10,[6]15,[5]10
[4]14;[4]15
[5]9;[5]10
[8]13;[8]14
