Genesis;[1]1,[4]1,[0]1,[2]1
[1]1;[3]1,[4]2,[1]2,[0]2
[4]1;[0]2,[3]2
[0]1;[3]2,[2]3,[0]3
[2]1;[2]3,[0]3
[3]1;[2]2,[4]3,[1]3
[4]2;[1]3
[1]2;[1]5,[4]6
[2]2;[4]4,[1]4,[2]4
[0]2;[3]3,[1]5,[4]6
[4]3;[4]4,[1]4,[2]4
[1]3;[4]8,[2]7
[3]2;[2]6,[3]5
[2]3;[3]3
[0]3;[2]6,[3]5
[4]4;[4]5,[0]4
[1]4;[3]8
[4]5;[0]5,[2]5
[2]4;[3]8
[0]4;[3]13,[2]16
[3]3;[4]8,[2]7
[1]5;[4]9,[1]8,[0]9,[2]9,[3]7
[0]5;[3]4,[1]6,[0]6,[4]7
[2]5;[3]17
[4]6;[2]9,[1]9,[0]10
[3]4;[0]7,[1]7
[1]6;[0]7,[1]7
[0]6;[1]22,[3]20
[2]6;[4]9,[1]8,[0]9,[3]7
[4]7;[3]19
[3]5;[1]9,[0]10
[0]7;[0]8,[3]6,[2]8
[4]8;[4]11
[2]7;[4]12,[3]9,[0]12
[1]7;[1]22,[2]22
[0]8;[4]10,[2]10,[1]10
[3]6;[4]10,[2]10,[1]10
[2]8;[4]25,[3]23
[4]9;[3]9,[0]12
[1]8;[3]10,[2]14,[1]13
[0]9;[3]10
[2]9;[4]12
[3]7;[4]15,[0]14
[1]9;[4]11
[0]10;[2]14,[1]13,[4]15
[4]10;[2]11,[0]11,[1]11
[2]10;[1]11
[1]10;[4]25,[1]26
[2]11;[2]12
[0]11;[4]29
[3]8;[2]16,[1]16,[3]14
[4]11;[0]14
[2]12;[2]13,[1]12
[1]11;[1]12
[4]12;[3]14,[4]17
[2]13;[4]13
[3]9;[3]13
[0]12;[4]17
[4]13;[0]13,[4]14
[1]12;[0]29
[3]10;[1]16
[0]13;[3]11,[2]15
[4]14;[4]32,[3]32
[2]14;[2]21
[3]11;[3]12,[1]14
[1]13;
[2]15;[2]38
[3]12;[4]16,[1]15
[4]15;[0]22
[1]14;[0]15
[0]14;[3]17
[4]16;[0]15
[1]15;[4]36
[3]13;[3]15,[4]18
[0]15;[0]16,[2]17
[2]16;[3]15
[1]16;[4]18,[3]16
[0]16;[0]17,[1]17
[3]14;[3]16
[2]17;[3]31
[4]17;[2]21,[3]19
[0]17;[0]18,[1]18,[2]18
[1]17;[2]37
[3]15;[3]18
[0]18;[1]19
[1]18;[4]19
[2]18;[2]19,[0]19
[1]19;[2]19,[0]19,[4]19
[4]18;[3]20
[3]16;[2]24,[0]24
[2]19;[2]20,[0]20,[1]20,[4]20
[0]19;[4]20
[4]19;[1]38
[3]17;[3]18
[2]20;[1]21,[0]21,[4]21
[0]20;[1]21,[0]21,[4]21
[1]20;[3]40
[3]18;[2]22
[4]20;[3]38
[2]21;[3]21
[1]21;[4]22,[0]23,[1]23
[3]19;[0]22
[0]21;[4]22,[0]23,[1]23
[4]21;[0]41
[1]22;[1]24,[3]22,[4]24,[0]25
[3]20;[0]25
[0]22;[3]21
[2]22;[2]24,[0]24,[1]24,[3]22,[4]24
[4]22;[2]23
[2]23;[4]23
[0]23;[3]39
[3]21;[1]26
[1]23;[2]44,[4]45
[4]23;[2]25
[2]24;[3]23
[0]24;[2]27,[0]27
[1]24;[4]26
[2]25;[1]25
[3]22;[3]28,[0]30
[4]24;[4]29
[0]25;[2]27,[0]27,[4]26
[1]25;[0]26,[2]26
[0]26;[1]27,[3]24
[2]26;[3]45,[0]45
[4]25;[4]27
[3]23;[4]28,[3]26
[1]26;[2]28
[2]27;[4]27,[2]28
[1]27;[3]25,[0]28,[1]28
[0]27;[4]28
[3]24;[4]48,[2]47
[4]26;[3]26
[3]25;[1]29,[2]29
[0]28;[1]29,[2]29
[1]28;[3]62
[4]27;[0]29,[2]30
[2]28;[2]31,[0]31
[1]29;[1]30,[3]27
[4]28;[1]33
[3]26;[2]30,[3]28
[2]29;[1]51
[1]30;[1]31
[3]27;[3]50
[0]29;[1]32
[4]29;[0]30,[1]32
[2]30;[1]34,[4]32,[3]32
[1]31;[4]30
[3]28;[1]33
[4]30;[3]29,[4]31
[0]30;[1]35
[1]32;[2]31,[0]31
[3]29;[3]30
[4]31;[3]50
[3]30;[0]32
[1]33;[1]34,[0]33
[2]31;[3]31,[0]33
[0]31;[2]33,[3]33
[0]32;[2]32
[3]31;[2]33
[1]34;[1]35
[2]32;[0]34,[4]33,[2]34
[4]32;[0]35
[0]33;[3]35
[3]32;[1]36
[1]35;[1]36,[3]33,[0]35
[2]33;[0]36,[3]35,[1]38
[0]34;[3]34,[1]37,[2]35,[4]34
[4]33;[2]35,[4]34
[2]34;[4]52
[1]36;[3]36,[1]39
[3]33;
[0]35;[0]36
[3]34;[0]37,[4]35,[2]36
[1]37;[4]35,[2]36,[0]38
[2]35;[2]51
[4]34;[4]55
[0]36;[3]36,[4]36
[3]35;[1]39,[3]37
[1]38;[3]38,[2]38
[0]37;[0]38
[4]35;[1]40,[4]38
[2]36;[1]40
[3]36;[3]37,[2]37,[0]39
[0]38;[4]37
[1]39;[0]39
[4]36;[0]41
[3]37;[4]39
[4]37;[0]40,[4]38
[2]37;[2]40,[4]40
[0]39;[1]41
[1]40;[2]39
[3]38;[1]41,[3]39,[4]39
[0]40;[2]39
[2]38;[2]41
[4]38;[1]42,[0]42
[0]41;[2]40
[2]39;[1]42,[0]42
[1]41;[4]40,[2]41
[3]39;[0]43,[4]41
[4]39;[3]40
[2]40;[4]42,[0]44
[1]42;[1]43,[3]41
[0]42;[0]58
[3]40;[4]41
[4]40;[0]43
[2]41;[2]42,[0]44
[1]43;[1]44,[3]42
[0]43;[2]43,[3]45
[3]41;[1]60
[4]41;[2]42,[4]42
[1]44;[1]45,[3]43
[3]42;[0]61,[4]59
[1]45;[3]44,[4]43,[1]46
[2]42;[2]43
[3]43;[4]58
[4]42;[4]45,[3]46
[0]44;[1]49
[3]44;[4]44,[1]47
[4]43;[4]44,[1]47
[1]46;[3]67
[2]43;[0]45,[2]44
[4]44;[0]46,[1]48
[3]45;[2]45
[0]45;[3]46,[4]46
[1]47;[2]60
[2]44;[2]45,[4]46
[0]46;[0]47,[3]47
[1]48;[0]64
[4]45;[1]49
[3]46;[3]48
[0]47;[0]48,[4]47
[3]47;[0]66
[2]45;[3]48,[2]46,[4]48,[0]49,[1]51
[1]49;[2]46,[0]49
[4]46;[0]50
[0]48;[1]50
[4]47;[0]67,[4]65
[1]50;[3]49
[3]48;[2]47,[0]50,[4]49
[2]46;[4]49
[3]49;[1]52
[4]48;[2]48,[4]50
[0]49;[1]54
[1]51;[2]49,[0]52,[1]54
[2]47;[2]48
[0]50;[0]51,[4]50,[2]49
[1]52;[3]51,[1]53
[4]49;[0]51
[3]50;[2]51,[4]52
[2]48;[0]52
[3]51;[3]52,[2]50
[1]53;
[0]51;[2]52
[4]50;[0]54
[2]49;[0]53
[3]52;[4]51
[2]50;[0]71
[0]52;[0]53
[1]54;[3]54,[2]52
[4]51;[3]53,[1]55
[0]53;[0]54,[3]54
[2]51;[3]55,[2]53
[3]53;[1]56
[1]55;[4]53
[4]52;[1]59,[0]58
[1]56;[1]57,[4]53
[0]54;[3]55,[2]53
[3]54;[4]54,[1]58
[2]52;[4]54,[1]58
[1]57;[0]55
[4]53;[0]56
[0]55;[3]56,[0]56
[3]55;[4]55,[2]55,[1]59
[2]53;[4]57,[0]59
[3]56;[3]57,[2]54
[4]54;[2]55
[0]56;[0]76
[3]57;[3]58,[0]57
[2]54;[1]79
[1]58;[2]56
[4]55;[2]56
[3]58;[3]59
[0]57;[0]78,[1]79
[2]55;[1]60,[3]60
[1]59;[4]57,[0]59
[3]59;[4]56
[0]58;[3]60
[4]56;[1]61,[3]61
[1]60;[2]57
[3]60;[2]57
[2]56;[3]62
[4]57;[4]58
[1]61;[1]62
[3]61;[0]60
[1]62;[1]63,[0]60
[0]59;
[1]63;[3]63
[3]62;[3]64,[4]59
[4]58;[1]64,[0]61
[2]57;[1]64,[3]64
[0]60;[2]58
[3]63;[2]58
[1]64;[1]65
[2]58;[4]60,[0]62,[3]65,[2]59
[3]64;[1]65
[0]61;[3]66,[2]60,[4]62
[4]59;[3]66,[4]62
[4]60;[4]61,[1]66
[0]62;[1]66
[3]65;[2]76,[4]78,[3]84
[2]59;[0]78,[2]73
[1]65;[1]67,[3]67,[0]64
[4]61;[0]63
[1]66;[4]63
[3]66;[1]67
[2]60;[0]67,[1]70
[0]63;[2]61,[0]65,[4]63
[4]62;[1]68,[3]68
[1]67;[1]68,[3]68,[0]66
[3]67;[3]69
[0]64;[3]69,[2]63
[2]61;[2]62,[4]64,[1]69
[0]65;[4]64,[1]69
[4]63;[0]82
[1]68;[1]70,[4]66,[2]64
[3]68;[2]63
[0]66;[0]69
[2]62;[3]70,[1]71,[4]67
[4]64;[3]70,[1]71,[4]67
[3]69;[4]65,[0]68
[1]69;[1]84
[0]67;[0]68,[4]66
[2]63;[2]64
[4]65;[3]71,[1]72
[1]70;[0]69,[2]65
[0]68;[2]65,[3]71
[4]66;[2]66
[2]64;[1]72,[2]66
[3]70;[0]70
[1]71;[2]67
[0]69;[3]72
[4]67;[1]73
[0]70;[4]68,[1]73,[2]67
[2]65;[1]74,[2]68
