Genesis;[0]1,[0]1,[1]1,[1]1,[4]1,[4]1
[0]1;[2]1,[2]1
[1]1;[0]2,[3]1,[1]2,[2]2
[4]1;[4]2
[2]1;[0]2,[3]1,[1]2,[2]2
[0]2;[0]3,[0]3,[4]2
[3]1;[2]3,[3]3,[0]5
[0]3;[3]2,[3]2
[1]2;[0]4,[4]3
[2]2;[3]3,[0]5,[4]4
[4]2;[0]4,[2]3,[4]3
[0]4;[4]4,[2]5
[3]2;[1]3,[1]3,[2]4,[2]4
[2]3;[2]5,[1]4,[0]6
[4]3;[1]4
[1]3;[2]6,[2]6,[4]6,[4]6
[3]3;[0]6
[0]5;[4]5,[0]7,[1]5
[2]4;[0]11,[3]6
[4]4;[4]5,[0]7,[1]5
[2]5;[3]4,[4]7,[1]6
[1]4;[3]4,[4]7,[1]6
[0]6;[4]8
[4]5;[4]9
[2]6;[2]7,[2]7
[4]6;[3]9
[0]7;[4]8
[1]5;[4]9
[3]4;[2]8
[4]7;[0]11,[3]6
[2]7;[0]8,[0]8
[1]6;[4]12
[4]8;[2]8
[0]8;[4]10,[4]10,[0]9,[0]9
[4]9;[4]12,[2]12
[4]10;[3]5,[3]5,[4]11,[4]11,[1]7,[1]7
[0]9;[2]16,[3]11
[2]8;[2]12
[3]5;[0]10,[0]10
[4]11;[2]17
[1]7;[2]18,[1]14,[4]16
[0]10;[2]9,[2]9
[2]9;[2]10,[2]10
[2]10;[2]11,[2]11
[0]11;[1]9
[2]11;[0]12,[0]12
[3]6;[2]13,[0]15
[0]12;[1]8,[1]8
[4]12;[1]9
[2]12;[3]9
[1]8;[3]7,[3]7
[3]7;[3]8,[3]8,[0]13,[0]13
[1]9;[2]13
[3]8;[0]14,[0]14
[0]13;[0]22
[0]14;[2]14,[2]14
[3]9;[0]15,[4]13
[2]13;[4]13,[1]10,[0]16,[2]15
[0]15;[1]10,[0]16,[2]15,[3]10
[2]14;[1]11,[1]11
[4]13;[3]10
[1]10;[2]16
[0]16;[3]12
[2]15;[3]12
[3]10;[3]11
[1]11;[1]12,[1]12
[2]16;[2]17,[0]18
[3]11;[0]18
[1]12;[4]14,[4]14
[4]14;[0]17,[0]17
[3]12;[2]18,[1]14,[4]16
[0]17;[4]15,[4]15,[1]13,[1]13
[2]17;[0]21,[1]15
[0]18;[0]21,[1]15
[4]15;[0]19,[0]19
[1]13;[3]13
[0]19;[0]20,[0]20,[3]13
[2]18;[2]19
[0]20;[3]14,[3]14
[1]14;[2]19,[4]17
[3]13;[2]22,[4]20,[0]24,[1]18
[4]16;[2]20
[3]14;[3]15,[3]15
[0]21;[0]22,[4]17
[1]15;[1]16,[3]16,[2]20
[0]22;[2]21
[3]15;[4]18,[4]18
[2]19;[1]16,[3]16
[4]17;[3]17,[1]17
[1]16;[0]23
[3]16;[3]17,[1]17
[2]20;[2]21
[2]21;[0]23
[0]23;[4]19,[3]18
[4]18;[4]21,[4]21
[3]17;[4]19,[3]18
[1]17;[3]19
[4]19;[2]22,[4]20,[0]24,[1]18
[3]18;[3]19
[2]22;[0]25,[1]19
[4]20;[4]23
[0]24;[4]23
[1]18;[4]24,[0]27
[3]19;[0]25,[1]19
[4]21;[4]22,[4]22
[0]25;[4]24,[0]27
[4]22;[0]26,[0]26
[1]19;[4]25,[3]21,[2]24,[1]22
[0]26;[3]20,[3]20,[1]20,[1]20
[4]23;[4]25,[2]24,[1]22
[3]20;[2]23,[2]23,[1]21,[1]21
[1]20;[2]29,[3]27
[2]23;[3]22,[3]22
[4]24;[3]21
[1]21;[1]33
[0]27;[4]26,[1]23,[2]25
[4]25;[4]27
[3]21;[1]23,[2]25
[2]24;[4]26
[1]22;[4]27
[3]22;[3]23,[3]23
[4]26;[1]24
[3]23;[1]25,[1]25
[1]23;[1]24,[4]28,[0]28,[2]26
[2]25;[3]24
[4]27;[4]28,[0]28,[2]26
[1]24;[3]24
[4]28;[1]26
[0]28;[4]29,[1]26
[2]26;[2]28
[3]24;[4]29
[1]25;[2]27,[2]27
[4]29;[2]28
[1]26;[3]26,[4]31
[2]27;[3]25,[3]25
[3]25;[0]29,[0]29,[1]27,[1]27
[0]29;[4]30,[4]30,[1]28,[1]28
[1]27;[1]38,[4]36
[2]28;[3]26,[4]31
[4]30;[1]29,[1]29,[0]30,[0]30
[1]28;[1]30
[3]26;[2]29,[3]27
[1]29;[0]31,[0]31,[1]30
[0]30;[4]40,[3]37
[4]31;[1]31,[4]32
[0]31;[4]33,[4]33
[1]30;[0]34
[2]29;[1]31,[4]32
[3]27;[1]32,[0]32,[3]28
[1]31;[1]32,[0]32,[3]28
[4]32;[4]34,[0]33,[2]30
[1]32;[1]33,[4]34,[2]30
[0]32;[0]33
[4]33;[0]34
[3]28;[3]30
[1]33;[3]29
[4]34;[3]29
[0]33;[3]30
[2]30;[1]34
[3]29;[1]34,[0]36
[0]34;[0]35,[0]35
[3]30;[0]36,[3]32,[4]35
[0]35;[3]31,[3]31
[1]34;[3]32,[4]35,[2]31,[1]36
[3]31;[1]35,[1]35,[0]37,[0]37
[0]36;[2]31,[1]36
[1]35;[0]38,[0]38
[3]32;[3]33
[0]37;[0]46,[3]42
[4]35;[2]32
[2]31;[3]33
[1]36;[2]32
[0]38;[0]39,[0]39
[3]33;[0]40,[3]34
[0]39;[1]37,[1]37,[2]33,[2]33
[2]32;[0]40,[3]34
[0]40;[1]38,[4]36
[1]37;[2]34,[2]34
[3]34;[1]40,[4]37,[2]36
[2]33;[3]35
[2]34;[2]35,[2]35,[3]35
[1]38;[1]40
[4]36;[4]37,[2]36
[2]35;[1]39,[1]39
[3]35;[0]41
[1]39;[0]41
[0]41;[2]37,[2]37,[1]41,[1]41
[1]40;[4]38
[4]37;[4]38
[2]36;[4]39,[1]42
[2]37;[3]36,[3]36
[4]38;[4]39,[1]42
[1]41;[2]38
[3]36;[2]38
[4]39;[4]40,[3]37
[1]42;[4]41,[1]43
[2]38;[0]42,[0]42
[4]40;[4]41,[1]43
[3]37;[0]43,[2]39
[4]41;[0]43,[2]39
[0]42;[4]42,[4]42
[1]43;[1]44,[0]44,[4]44
[4]42;[4]43,[4]43,[3]38,[3]38
[4]43;[1]45,[1]45,[4]45,[4]45
[0]43;[1]44,[0]44,[4]44
[3]38;[0]53,[3]51
[2]39;[2]40,[3]39
[1]44;[1]46,[2]40
[0]44;[1]46
[4]44;[3]39
[1]45;[1]47,[1]47
[4]45;[4]56,[3]53,[0]55
[1]46;[2]41,[3]40
[2]40;[2]41,[3]40
[1]47;[4]46,[4]46
[3]39;[1]48,[3]41
[4]46;[4]47,[4]47
[2]41;[1]48,[3]41
[3]40;[0]46
[4]47;[4]48,[4]48
[4]48;[0]45,[0]45,[1]49,[1]49
[1]48;[3]42
[0]45;[2]42,[2]42
[1]49;[3]43
[3]41;[0]47,[2]43
[2]42;[3]43
[0]46;[3]45,[2]44,[0]49
[3]42;[0]47,[2]43
[3]43;[3]44,[3]44
[0]47;[3]45,[2]44,[0]49
[3]44;[0]48,[0]48
[2]43;[3]46,[1]51
[0]48;[1]50,[1]50
[3]45;[3]46,[1]51
[2]44;[3]47
[1]50;[0]50,[0]50
[0]49;[3]47
[3]46;[3]48,[1]52
[0]50;[4]49,[4]49
[1]51;[4]51
[4]49;[2]45,[2]45
[3]47;[3]48,[1]52
[2]45;[4]50,[4]50,[2]46,[2]46,[0]51,[0]51
[4]50;[0]52,[0]52
[3]48;[4]51
[2]46;[3]50
[0]51;[4]72
[0]52;[2]47,[2]47,[3]50
[1]52;[3]49,[4]52
[4]51;[3]49,[4]52
[3]49;[0]53,[3]51
[2]47;[2]48,[2]48
[4]52;[0]54
[2]48;[2]49,[2]49
[3]50;[4]73,[1]65
[2]49;[1]53,[1]53
[0]53;[0]54
[1]53;[2]50,[2]50
[3]51;[3]52,[4]55
[2]50;[4]53,[4]53
[0]54;[3]52,[4]55
[4]53;[4]54,[4]54
[4]54;[1]54,[1]54,[2]51,[2]51
[3]52;[4]56,[3]53,[0]55
[4]55;[2]52,[3]54
[1]54;[0]56,[0]56
[4]56;[2]52,[3]54
[2]51;[1]55
[3]53;[2]53
[0]55;[4]57,[0]57
[0]56;[4]58,[4]58,[1]55
[2]52;[2]53,[4]57,[0]57
[3]54;[3]56,[0]59
[2]53;[3]55,[1]56
[4]57;[3]55,[1]56
[0]57;[2]54,[3]56,[0]59
[4]58;[0]58,[0]58
[1]55;[1]73
[0]58;[4]59,[4]59
[3]55;[2]54
[1]56;[4]60,[1]57,[3]57
[2]54;[1]57,[4]61
[3]56;[4]60,[3]57
[4]59;[2]55,[2]55
[0]59;[4]61,[0]60
[2]55;[2]57,[2]57
[4]60;[3]58,[1]58,[2]56
[1]57;[0]60,[4]62,[3]58
[3]57;[3]59
[4]61;[4]62,[2]56
[0]60;[1]58,[3]59
[4]62;[2]58,[1]59
[3]58;[1]59,[4]63
[1]58;[3]62
[2]56;[1]60,[3]62,[2]59
[3]59;[2]58
[2]57;[3]60,[3]60,[0]61,[0]61
[3]60;[0]62,[0]62
[0]61;[3]61
[2]58;[4]63
[0]62;[3]61
[1]59;[1]60,[4]64,[2]59
[4]63;[4]64
[3]61;[0]63,[0]63
[0]63;[2]60,[2]60
[1]60;[0]64
[4]64;[4]65
[3]62;[4]65,[0]64
[2]59;[3]63,[0]65,[1]61
[4]65;[4]66,[3]63,[0]65,[1]61
[0]64;[4]66
[2]60;[4]67,[4]67
[4]66;[4]68,[1]62,[0]66,[3]64
[3]63;[4]68,[1]62,[0]66
[0]65;[3]64
[4]67;[2]61,[2]61
[1]61;[1]63,[4]69,[2]62
[4]68;[1]63,[4]69,[0]67,[2]62
[1]62;[2]63
[2]61;[3]65,[3]65
[0]66;[4]70
[3]64;[0]67
[1]63;[4]70
[4]69;[1]64,[3]67
[3]65;[4]71,[4]71
[0]67;[2]64
[2]62;[2]64,[1]64
[4]70;[2]63
[4]71;[3]66,[3]66,[0]68
[2]63;[4]72,[0]68
[3]66;[3]68
[4]72;[3]67
[2]64;[4]73,[1]65
[1]64;[4]74
[0]68;[0]69
[3]67;[0]69,[3]68,[1]66
[4]73;[1]66,[0]70,[4]74
[1]65;[1]68,[2]66
[0]69;[0]70,[2]65,[1]67
[3]68;[1]67
[1]66;[2]65
[0]70;[0]71
[4]74;[2]67
[2]65;[1]68,[0]71,[2]66
[1]67;[3]69,[3]69
[3]69;[3]70,[2]67,[1]69
[1]68;[2]68
[0]71;[3]70,[1]69
[2]66;[1]70
[3]70;[4]75
[2]67;[4]75,[1]70,[2]68
[1]69;[0]72
[4]75;[3]71,[3]71,[0]72
[1]70;[3]72
[2]68;[0]73
[3]71;[2]69,[2]69
[2]69;[1]71,[1]71
[0]72;[0]73
[0]73;[3]72,[0]74
[1]71;[1]72,[1]72,[2]70,[2]70,[4]76,[4]76,[0]74
[1]72;[3]75,[1]74
[2]70;[0]75,[2]71,[3]73
[4]76;[3]76
[3]72;[1]73,[0]75,[2]71,[3]73
[0]74;[4]77,[0]76
[1]73;[4]77,[0]76
[0]75;[3]74,[3]74
[2]71;[0]77,[4]78
[3]73;[0]77
[4]77;[3]75,[4]78,[1]74
[3]74;[2]73,[2]73
[0]76;[2]72,[4]79
[3]75;[2]72,[4]79,[1]75
[0]77;[1]75,[3]76
[4]78;[0]78
[1]74;[2]75
[2]72;[2]74,[1]76
[4]79;[1]76
[2]73;[4]80,[2]74
[1]75;[4]80
[3]76;[2]75
[4]80;[0]78,[3]77
[2]74;[3]77
[1]76;[1]77,[3]78
[0]78;[2]76,[2]76
[3]77;[1]77
[2]75;[3]78,[0]79,[4]81
[2]76;[2]77,[2]77
[1]77;[0]79,[4]81
[3]78;[4]82,[2]78
[2]77;[1]78,[3]79
[0]79;[4]82,[1]78,[2]78,[3]79
[4]81;[4]83
[4]82;[4]83,[1]79
[1]78;[0]80,[0]80,[3]80,[3]80,[1]79
[2]78;[3]81,[1]80,[0]83
[3]79;[1]80
[0]80;[2]79,[2]79
[4]83;[0]82,[3]81
[3]80;[0]82
[1]79;[3]82,[4]85
[2]79;[2]80,[2]80
[2]80;[4]84,[4]84
[4]84;[0]81,[0]81,[2]81,[2]81
[0]81;[2]84,[1]81,[4]87,[4]87
[2]81;[2]85
[0]82;[0]83,[3]82
[3]81;[4]85,[0]84
[1]80;[2]83,[4]86
[0]83;[2]82
[3]82;[0]84,[2]82
[4]85;[4]86
[0]84;[2]83
[2]82;[2]84,[1]81
[2]83;[3]83
[4]86;[3]83
[2]84;[0]85,[0]85,[1]82
[3]83;[2]85,[1]82
[1]81;[4]88
[4]87;[1]87
[0]85;[4]88,[1]83,[1]83
[2]85;[2]86,[0]86,[4]89
[1]82;[2]88
[4]88;[2]86,[0]86,[3]84,[4]89
[1]83;[3]84
[2]86;[0]87,[0]87
[0]86;[4]90
[3]84;[3]85,[0]88,[2]87
[0]87;[3]85,[0]88,[2]87,[4]90
[4]89;[2]90,[0]91
[3]85;[2]88,[0]89
[0]88;[1]84
[2]87;[4]92
[4]90;[0]89
[2]88;[2]89,[2]89,[1]84
[0]89;[2]90
[2]89;[0]90,[0]90,[1]85,[1]85,[4]91,[4]91
[1]84;[1]87
[0]90;[1]86,[1]86,[4]92,[0]91
[1]85;[0]93
[4]91;[3]86
[1]86;[2]91,[2]91
[2]90;[4]93,[2]94
[4]92;[0]93
[2]91;[2]92,[2]92
[0]91;[1]89
[2]92;[0]92,[0]92,[2]93,[2]93
[1]87;[4]93,[2]94
[0]92;[0]94
[2]93;[1]88
[4]93;[3]86
[0]93;[0]94
[2]94;[3]89
[3]86;[3]90,[2]98
[0]94;[2]95,[2]95
[2]95;[2]96,[2]96
[2]96;[3]87,[3]87,[1]88
[3]87;[3]88,[3]88
[3]88;[0]95,[0]95,[3]89
[1]88;[3]90,[1]89
[0]95;[2]97,[2]97
[3]89;[2]98
[2]97;[0]96
[3]90;[0]96,[4]94,[3]91
[2]98;[4]94,[3]91
[1]89;[1]90,[2]99
[0]96;[1]90,[4]95,[4]95,[2]99
[4]94;[2]100,[1]91
[3]91;[3]96
[1]90;[3]92,[0]97
[4]95;[3]92,[0]97
[2]99;[1]91,[3]95
[3]92;[3]93,[3]93,[4]96,[4]96
[0]97;[2]100
[3]93;[3]94,[3]94
[4]96;[3]96,[1]92
[3]94;[4]97,[1]92
[2]100;[3]95
[1]91;[3]97
[3]95;[4]97
[3]96;[3]97
[4]97;[0]98,[0]98
[1]92;[4]99
[3]97;[4]98,[1]93,[0]99
[0]98;[3]98,[3]98,[4]98,[1]93
[3]98;[0]99
[4]98;[1]95,[3]100
[1]93;[3]99,[0]100
[0]99;[1]94,[1]94,[3]99,[0]100
[1]94;[1]95
[3]99;[3]100
[0]100;[1]98
[1]95;[1]96,[1]96
[3]100;[4]99
[1]96;[4]100,[4]100
[4]99;[1]97
[4]100;[1]97
[1]97;[1]98
[1]98;[1]99,[1]99
[1]99;[1]100,[1]100
[1]100;
