Genesis;[0]1,[1]1,[4]1
[0]1;[2]1,[0]2
[1]1;[0]2,[2]2,[1]2
[4]1;[2]2,[3]1,[4]2
[2]1;[3]1
[0]2;[4]2,[2]3
[2]2;[2]3
[3]1;[3]2,[4]3,[1]4
[1]2;[1]4,[4]4
[4]2;[1]3
[2]3;[4]5,[3]4,[0]4
[1]3;[4]3
[3]2;[3]3,[2]4
[3]3;[2]5,[0]3
[4]3;[4]4,[1]5
[1]4;[4]5,[3]4,[0]4
[2]4;[0]5
[4]4;[0]5,[4]6
[1]5;[0]6,[1]6
[2]5;[2]6
[0]3;[3]5
[4]5;[4]6,[3]6
[3]4;[3]6
[0]4;[0]6,[1]6
[2]6;[2]7
[3]5;[4]7
[2]7;[2]9
[0]5;[3]7
[4]6;[3]8,[2]8,[4]11
[3]6;[3]7
[0]6;[1]7,[3]8,[2]8
[4]7;[4]8
[1]6;[4]12,[0]7
[4]8;[4]9
[4]9;[4]10
[3]7;[4]11
[4]10;[3]9
[1]7;[1]8
[3]8;[2]9,[0]7
[2]8;[4]12
[4]11;[3]10
[2]9;[2]10
[4]12;[3]10
[0]7;[2]13,[4]13,[0]11
[3]9;[0]8
[2]10;[2]11
[0]8;[0]9
[2]11;[2]12
[2]12;[3]12,[2]14
[0]9;[0]10
[3]10;[2]13,[4]13,[3]12,[0]11
[0]10;[1]8
[1]8;[3]11
[3]11;[4]14
[2]13;[2]15,[4]15,[0]12
[4]13;[2]15,[4]15,[3]13,[0]12
[3]12;[3]13,[4]16
[2]14;[4]22
[4]14;[4]17,[1]10
[0]11;[4]16,[1]9
[2]15;[4]18,[0]13
[4]15;[1]9
[3]13;[2]16
[0]12;[0]14,[4]20,[3]14
[2]16;[1]11
[4]16;[4]18,[0]13
[1]9;[0]14,[4]20,[3]14
[4]17;[1]11,[4]19
[1]10;[1]13
[4]18;[3]15
[0]13;[4]21,[3]16,[2]17
[1]11;[0]15,[3]15
[4]19;[4]25
[0]14;[2]17
[4]20;[4]21
[3]14;[4]22
[0]15;[2]18,[3]17,[1]12
[3]15;[3]16
[4]21;[4]24
[3]16;[4]23
[2]17;[4]24,[1]13
[2]18;[3]18
[4]22;[4]23
[3]17;[3]18
[1]12;[1]15
[4]23;[2]19,[0]16
[3]18;[3]19
[4]24;[2]19,[0]16
[1]13;[1]14
[3]19;[3]20
[4]25;[4]26
[3]20;[0]17
[2]19;[2]20
[0]16;[1]14
[0]17;[3]21
[1]14;[2]20
[2]20;[1]16,[3]22,[4]28
[4]26;[4]27
[3]21;[2]21
[1]15;[1]16,[3]22,[4]28
[4]27;[1]17
[1]16;[1]17
[3]22;[4]29,[1]19,[0]19
[1]17;[1]18
[2]21;[0]18,[1]18
[4]28;[4]29,[1]19,[0]19
[0]18;[2]23
[4]29;[2]22,[4]30,[1]20
[1]18;[2]22
[1]19;[4]30,[1]20,[0]20
[0]19;[0]20,[3]23,[2]24
[2]22;[4]31
[2]23;[3]24,[0]21
[4]30;[3]23
[1]20;[2]24,[4]32
[4]31;[4]33
[0]20;[4]32
[3]23;[2]26,[3]27,[0]22
[2]24;[3]26
[4]32;[3]26,[2]26
[3]24;[3]25
[3]25;[2]25
[0]21;[4]36,[3]30,[0]25
[4]33;[1]21
[2]25;[2]27,[4]34,[0]23
[1]21;[1]22
[3]26;[3]27,[0]22
[1]22;[4]34
[2]26;[3]28,[1]23
[3]27;[3]28,[1]23
[0]22;[4]35
[3]28;[4]35
[2]27;[3]29,[2]29
[4]34;[3]29,[0]24,[2]29
[0]23;[0]36
[1]23;[2]28
[4]35;[2]28
[2]28;[2]30,[4]36,[3]30,[0]25
[3]29;[2]30,[3]31
[0]24;[2]33,[4]37,[0]27
[2]29;[2]32
[2]30;[2]31
[4]36;[2]31,[1]24
[3]30;[3]31,[1]24
[0]25;[0]26,[2]33,[4]37
[3]31;[1]25,[3]32
[2]31;[2]32,[1]25,[3]32
[1]24;[0]26
[2]32;[3]33,[1]27
[1]25;[1]26,[3]33
[3]32;[3]34
[0]26;[1]27
[1]26;[1]29
[2]33;[1]28,[4]38
[3]33;[2]34,[3]35
[4]37;[3]34
[0]27;[0]28
[1]27;[1]28,[4]38,[0]28
[3]34;[3]35
[1]28;[0]30
[2]34;[2]35,[3]36,[4]39
[4]38;[4]40
[1]29;[1]30
[0]28;[0]29
[1]30;[2]36,[3]37
[3]35;[0]29,[4]39
[2]35;[2]36,[3]37
[0]29;[0]30
[3]36;[4]40
[2]36;[2]37
[4]39;[4]41,[0]31
[0]30;[4]41,[0]31
[3]37;[2]38
[4]40;[0]32,[4]42,[1]31
[4]41;[0]32,[4]42,[1]31
[0]31;[1]32
[2]37;[2]38
[2]38;[2]39
[2]39;[2]40,[4]43
[2]40;[2]41
[0]32;[4]44,[0]33
[4]42;[1]32,[4]44
[2]41;[2]42
[1]31;[1]33
[4]43;[2]45
[2]42;[4]45
[1]32;[0]33
[4]44;[1]33,[0]34
[0]33;[0]36,[2]44
[1]33;[2]43
[4]45;[3]38,[2]43
[0]34;[0]35
[0]35;[1]37
[3]38;[1]34
[2]43;[2]44,[1]35
[1]34;[1]35
[0]36;[1]36,[0]37
[2]44;[2]46,[0]38,[1]38
[1]35;[1]36,[0]37
[1]36;[1]37,[3]39,[2]45
[0]37;[0]38,[1]38
[1]37;[4]46,[2]47
[3]39;[3]40
[2]45;[2]46
[2]46;[4]47,[1]39,[0]40
[0]38;[4]47,[3]41,[2]48,[0]40
[3]40;[3]42,[4]48
[4]46;[0]39,[3]41,[2]48,[1]39
[1]38;[2]49
[2]47;[1]41
[0]39;[2]49,[1]40
[4]47;[3]42,[4]48,[1]41
[3]41;[2]50
[2]48;[4]52
[1]39;[1]40,[2]50
[0]40;[1]42
[2]49;[4]49
[1]40;[3]44,[1]42
[3]42;[3]43
[4]48;[4]49
[3]43;[3]44
[2]50;[1]44
[1]41;[1]44
[4]49;[4]50,[1]43
[3]44;[4]51
[1]42;[4]50,[1]43
[4]50;[2]51,[4]52,[3]45
[1]43;[1]45
[4]51;[0]41
[1]44;[2]51,[3]45
[0]41;[0]42
[2]51;[1]46,[2]52
[1]45;[1]46
[0]42;[4]53
[4]52;[2]52,[0]43,[1]48
[3]45;[1]48,[3]46,[2]53
[4]53;[4]54
[1]46;[1]47,[0]43
[2]52;[2]53
[4]54;[3]47
[1]47;[3]46
[0]43;[3]48
[1]48;[2]54,[3]48
[3]46;[1]49
[2]53;[2]54
[3]47;[3]49,[4]55
[2]54;[3]50
[3]48;[2]55
[1]49;[2]55,[3]50
[3]49;[0]44,[4]56,[3]51
[2]55;[1]50
[4]55;[1]51
[3]50;[0]44,[3]51
[0]44;[1]50
[4]56;[4]57
[3]51;[3]52,[0]45
[1]50;[2]56,[3]52,[1]51,[0]45
[2]56;[2]57,[0]46,[1]52
[3]52;[2]57,[0]46
[1]51;[1]52
[4]57;[4]58
[0]45;[3]53,[0]48
[2]57;[0]47
[0]46;[0]48
[4]58;[4]59
[1]52;[1]53,[3]53
[0]47;[2]58,[4]61
[1]53;[1]54
[3]53;[2]58,[1]55,[4]61
[4]59;[4]60
[0]48;[2]60,[1]56
[1]54;[1]55
[4]60;[2]60,[4]62
[2]58;[2]59,[0]49
[1]55;[1]56
[2]59;[0]50
[4]61;[1]57,[4]63
[0]49;[3]54,[2]61
[2]60;[2]61,[4]63
[0]50;[3]54
[4]62;[4]65
[1]56;[1]57
[3]54;[3]55,[4]64
[2]61;[1]61
[1]57;[1]58
[4]63;[4]64
[1]58;[1]59
[3]55;[3]56,[0]51
[4]64;[3]59,[4]65
[1]59;[1]60
[3]56;[3]57
[0]51;[0]52
[3]57;[3]58
[1]60;[1]61,[3]59
[3]58;[2]62
[0]52;[0]53,[4]66
[1]61;[0]54,[1]62,[3]61
[2]62;[2]63,[3]60
[3]59;[0]54,[1]62,[3]61
[4]65;[4]66
[2]63;[2]65
[3]60;[3]62
[0]53;[3]62,[0]57
[4]66;[0]55
[0]54;[0]55
[1]62;[0]56,[1]63
[3]61;[0]56
[0]55;[0]57,[4]67,[2]64
[0]56;[4]67,[2]64
[1]63;[1]64
[3]62;[3]63
[0]57;[4]68
[4]67;[2]66
[2]64;[2]67
[3]63;[0]59
[4]68;[0]58,[2]66
[1]64;[1]65
[2]65;[2]68,[3]65
[0]58;[0]59
[2]66;[2]67
[2]67;[3]65
[0]59;[4]69,[3]64,[0]60
[4]69;[4]70
[3]64;[4]70
[0]60;[3]66
[2]68;[2]69
[3]65;[1]65
[2]69;[2]70
[4]70;[2]71
[1]65;[1]66,[3]66,[2]70
[1]66;[1]67,[2]71
[3]66;[0]61,[1]67
[2]70;[2]72,[4]71
[0]61;[0]62
[1]67;[4]71
[2]71;[0]62,[2]72
[0]62;[4]72,[3]67
[2]72;[1]68
[4]71;[1]68
[1]68;[4]72,[3]67
[4]72;[4]73,[1]69
[3]67;[2]73,[3]68,[0]63
[4]73;[2]73,[0]63
[1]69;[2]74
[2]73;[2]74,[3]69
[3]68;[0]64,[3]69,[4]74
[0]63;[0]64
[2]74;[2]75,[4]74
[2]75;[2]77
[0]64;[2]76,[0]65,[3]70
[3]69;[2]76,[0]65,[3]70
[4]74;[4]75,[1]70
[2]76;[2]79,[0]66
[0]65;[4]75
[2]77;[1]70
[3]70;[1]71,[2]78,[3]71
[4]75;[1]71,[2]78,[3]71
[1]70;[1]72,[4]76
[1]71;[1]72
[2]78;[0]66
[3]71;[4]76,[3]72
[1]72;[2]79,[3]72,[4]77
[2]79;[0]67,[4]78,[2]80
[4]76;[0]67,[3]73,[2]80
[3]72;[0]69,[4]79
[0]66;[2]81,[0]69
[4]77;[4]78,[0]68
[0]67;[0]68,[2]81,[4]79
[3]73;[3]74
