Genesis;[8]1,[6]1,[0]1,[1]1,[4]1,[9]1,[2]1
[8]1;[1]3,[8]2,[2]2,[3]1,[7]1,[6]3
[6]1;[5]2,[6]2,[2]3,[3]1,[7]1
[0]1;[5]1,[0]2,[3]1,[7]1,[2]4,[6]3
[1]1;[5]1,[1]2
[4]1;[5]1,[3]3
[5]1;[5]2
[9]1;[9]2
[9]2;[5]2,[3]2
[5]2;[8]5,[6]5,[9]3
[1]2;[1]3,[3]2
[2]1;[2]2,[3]3
[6]2;[6]3
[0]2;[5]3,[8]3,[0]3,[4]2,[3]4,[6]4
[1]3;[8]3,[4]3
[8]2;[1]11
[2]2;[2]3
[2]3;[2]4,[8]3
[3]1;[3]2,[0]3
[7]1;[8]5
[2]4;[5]3,[0]3,[4]2,[3]4,[8]4,[6]4
[6]3;[5]3,[4]2,[8]7
[5]3;[0]5,[8]9,[1]5
[3]2;[3]3
[3]3;[4]3,[3]4,[8]4,[6]4
[8]3;[8]4
[0]3;[5]4,[6]5,[8]7,[9]3,[4]4,[2]5
[4]2;[4]3
[4]3;[5]4,[9]3,[4]4,[8]8,[2]5,[0]5
[3]4;[8]8,[0]4,[2]6,[7]2,[1]4,[6]6,[9]4
[8]4;[5]4,[8]5,[4]4
[6]4;[6]5
[5]4;[7]3
[8]5;[8]6
[8]6;[8]7,[2]5
[6]5;[0]4,[8]9,[7]2,[1]5,[9]4
[8]7;[8]8,[0]4,[2]6,[7]2,[1]4,[6]6,[9]4
[9]3;[1]4,[6]6,[8]10
[4]4;[8]10,[7]3,[1]6,[6]8,[9]7
[8]8;[8]9,[1]6,[9]5,[0]8
[2]5;[2]6,[9]5,[0]8
[0]4;[0]5
[0]5;[0]6,[9]6,[6]7
[8]9;[5]5,[8]10,[6]7,[0]9,[3]5
[2]6;[5]5,[9]6,[6]7,[0]9,[7]4,[1]7
[0]6;[5]5,[0]7,[9]7,[7]4,[8]11,[3]5
[5]5;[5]6,[6]9
[7]2;[7]3
[1]4;[5]6,[1]5,[8]11,[3]5
[6]6;[5]6,[6]8
[5]6;[5]8,[6]11,[4]6
[1]5;[1]6,[7]5
[9]4;[9]5
[0]7;[0]8,[7]5,[1]7
[8]10;[8]11,[6]10
[7]3;[7]4
[1]6;[1]7,[8]12,[6]10,[7]6
[9]5;[9]6
[0]8;[0]9,[8]12,[6]9
[9]6;[9]7
[6]7;[6]8
[6]8;[6]9
[0]9;[5]7,[7]6,[6]11,[4]5,[2]7
[9]7;[9]18
[7]4;[7]5
[8]11;[8]12
[3]5;[4]5,[1]9
[7]5;[7]6,[2]7
[1]7;[5]8,[4]5,[2]7,[6]12,[1]8,[9]8
[8]12;[5]7,[6]12,[1]9,[9]8,[2]9
[6]9;[6]10
[6]10;[5]7,[6]11,[1]8,[4]6
[5]7;[5]8
[5]8;[1]13,[6]14,[9]10
[7]6;[1]8,[2]8,[4]7
[6]11;[6]12,[2]8,[4]7,[9]8,[1]10,[8]13
[4]5;[4]6,[2]9,[8]13,[1]11
[2]7;[2]8,[1]10,[8]13,[6]13
[6]12;[1]13
[1]8;[1]9
[1]9;[1]10,[6]13
[4]6;[4]7,[6]13
[2]8;[2]9
[4]7;[5]10,[9]9,[0]10,[1]12,[7]7,[2]10,[3]6,[8]14
[9]8;[5]10
[2]9;[5]9,[9]9,[0]10,[1]12,[7]7,[2]10,[3]6,[8]14
[1]10;[1]11
[8]13;[5]9,[1]14
[1]11;[5]9,[9]9,[0]10,[1]12,[7]7,[2]10,[3]6,[8]14
[5]9;[5]10
[5]10;[5]11,[8]16,[3]8,[6]16,[7]8
[6]13;[1]14
[9]9;[6]14,[9]10,[3]7
[0]10;[5]11,[6]14,[9]10,[8]15,[3]7,[7]8
[1]12;[1]13
[7]7;[8]15
[1]13;[5]11,[1]14,[8]16,[3]7
[5]11;[5]12
[2]10;[5]12,[8]17,[3]8,[6]15
[3]6;[5]12,[8]17,[6]16
[8]14;[8]15
[5]12;[5]13,[0]11,[6]18
[1]14;[5]13,[6]15,[7]8,[8]18
[6]14;[5]13,[6]15
[9]10;[8]18,[6]18
[5]13;[5]14,[0]12,[3]9,[9]12,[7]9
[8]15;[8]16
[8]16;[8]17
[3]7;[3]8
[8]17;[8]18,[6]17,[0]11,[9]11
[3]8;[5]14,[6]17,[0]11,[9]11,[3]9,[1]15
[6]15;[6]16
[6]16;[5]14,[6]17,[9]11,[0]12,[3]9,[1]15
[7]8;[5]16,[0]13,[3]10
[5]14;[5]16,[9]14,[2]11
[8]18;[1]15,[0]13
[6]17;[6]18,[3]10,[9]12,[7]9
[0]11;[0]12,[7]9,[9]13
[6]18;[5]15,[9]13,[7]10,[2]11,[1]16
[9]11;[9]12
